"","Age","pop_linear","pop_spline","adminCode","adminNameAsUsed"
"1","<1",1761330.47461668,1761330.47461668,"ET","Ethiopia"
"2","1",1694396.17798126,1689194.99050263,"ET","Ethiopia"
"3","2",1627461.88134583,1627461.88134583,"ET","Ethiopia"
"4","3",1602991.74507666,1583863.09103615,"ET","Ethiopia"
"5","4",1578521.6088075,1555448.83919385,"ET","Ethiopia"
"6","5",1554051.47253833,1536598.91437181,"ET","Ethiopia"
"7","6",1529581.33626917,1521693.1051229,"ET","Ethiopia"
"8","7",1505111.2,1505111.2,"ET","Ethiopia"
"9","8",1478254,1482596.76647096,"ET","Ethiopia"
"10","9",1451396.8,1455348.48766363,"ET","Ethiopia"
"11","10",1424539.6,1425928.82562081,"ET","Ethiopia"
"12","11",1397682.4,1396900.24238532,"ET","Ethiopia"
"13","12",1370825.2,1370825.2,"ET","Ethiopia"
"14","13",1353964.08,1349562.80312906,"ET","Ethiopia"
"15","14",1337102.96,1332158.72692234,"ET","Ethiopia"
"16","15",1320241.84,1316955.2891511,"ET","Ethiopia"
"17","16",1303380.72,1302294.80758657,"ET","Ethiopia"
"18","17",1286519.6,1286519.6,"ET","Ethiopia"
"19","18",1261862.6,1268214.6306128,"ET","Ethiopia"
"20","19",1237205.6,1246935.449447,"ET","Ethiopia"
"21","20",1212548.6,1222480.2529748,"ET","Ethiopia"
"22","21",1187891.6,1194647.2376684,"ET","Ethiopia"
"23","22",1163234.6,1163234.6,"ET","Ethiopia"
"24","23",1122685.68,1128161.14481975,"ET","Ethiopia"
"25","24",1082136.76,1089828.11048966,"ET","Ethiopia"
"26","25",1041587.84,1048757.34374969,"ET","Ethiopia"
"27","26",1001038.92,1005470.69133982,"ET","Ethiopia"
"28","27",960490,960490,"ET","Ethiopia"
"29","28",918693.76,914521.662108205,"ET","Ethiopia"
"30","29",876897.52,869010.252594371,"ET","Ethiopia"
"31","30",835101.28,825584.892026435,"ET","Ethiopia"
"32","31",793305.04,785874.700972333,"ET","Ethiopia"
