"","Age","pop_linear","pop_spline","adminCode","adminNameAsUsed"
"44","43",474142.88,471011.004663036,"ET","Ethiopia"
"45","44",459181.16,456024.705037298,"ET","Ethiopia"
"46","45",444219.44,442604.343080042,"ET","Ethiopia"
"47","46",429257.72,429208.560748524,"ET","Ethiopia"
"48","47",414296,414296,"ET","Ethiopia"
"49","48",394148.36,396729.493283676,"ET","Ethiopia"
"50","49",374000.72,376988.635016558,"ET","Ethiopia"
"51","50",353853.08,355957.210107602,"ET","Ethiopia"
"52","51",333705.44,334519.003465764,"ET","Ethiopia"
"53","52",313557.8,313557.8,"ET","Ethiopia"
"54","53",297206.32,293837.073402261,"ET","Ethiopia"
"55","54",280854.84,275639.052496471,"ET","Ethiopia"
"56","55",264503.36,259125.654889551,"ET","Ethiopia"
"57","56",248151.88,244458.798188421,"ET","Ethiopia"
"58","57",231800.4,231800.4,"ET","Ethiopia"
"59","58",223304.08,221192.509107282,"ET","Ethiopia"
"60","59",214807.76,212197.698997558,"ET","Ethiopia"
"61","60",206311.44,204258.674334193,"ET","Ethiopia"
"62","61",197815.12,196818.139780552,"ET","Ethiopia"
"63","62",189318.8,189318.8,"ET","Ethiopia"
"64","63",180884.92,181329.077368612,"ET","Ethiopia"
"65","64",172451.04,172920.265113298,"ET","Ethiopia"
"66","65",164017.16,164289.374173678,"ET","Ethiopia"
"67","66",155583.28,155633.415489372,"ET","Ethiopia"
"68","67",147149.4,147149.4,"ET","Ethiopia"
"69","68",139314.48,138984.506218271,"ET","Ethiopia"
"70","69",131479.56,131086.582949252,"ET","Ethiopia"
"71","70",123644.64,123353.646571097,"ET","Ethiopia"
"72","71",115809.72,115683.713461961,"ET","Ethiopia"
"73","72",107974.8,107974.8,"ET","Ethiopia"
"74","73",99988.12,100147.044958303,"ET","Ethiopia"
"75","74",92001.44,92209.0766896949,"ET","Ethiopia"
"76","75",84014.76,84191.6459419355,"ET","Ethiopia"
"77","76",76028.08,76125.5034627841,"ET","Ethiopia"
"78","77",68041.4,68041.4,"ET","Ethiopia"
"79","78",60781.1656,59996.5861725173,"ET","Ethiopia"
"80","79",53520.9312,52154.3120839686,"ET","Ethiopia"
"81","80",46260.6968,44704.3277091612,"ET","Ethiopia"
"82","81",39000.4624,37836.3830229026,"ET","Ethiopia"
"83","82",31740.228,31740.228,"ET","Ethiopia"
"84","83",27871.8768,26548.9800156281,"ET","Ethiopia"
"85","84",24003.5256,22169.2260464309,"ET","Ethiopia"
"86","85",20135.1744,18450.9204694196,"ET","Ethiopia"
"87","86",16266.8232,15244.0176616055,"ET","Ethiopia"
"88","87",12398.472,12398.472,"ET","Ethiopia"
"89","88",10380.9876,9796.01022897034,"ET","Ethiopia"
"90","89",8363.5032,7445.44856230801,"ET","Ethiopia"
"91","90",6346.0188,5387.37558116051,"ET","Ethiopia"
"92","91",4328.5344,3662.37986667534,"ET","Ethiopia"
"93","92",2311.05,2311.05,"ET","Ethiopia"
"94","93",1879.976,1354.58009249053,"ET","Ethiopia"
"95","94",1448.902,736.586376337096,"ET","Ethiopia"
"96","95",1017.828,381.290613938397,"ET","Ethiopia"
"97","96",586.754,212.914567693131,"ET","Ethiopia"
"98","97",155.68,155.679999999998,"ET","Ethiopia"
"99","98",164.12,144.473755027315,"ET","Ethiopia"
"100","99",172.56,156.843004021852,"ET","Ethiopia"
"101","100",181,181,"ET","Ethiopia"
"102","<1",111522.931758616,111522.931758616,"ET01","Tigray"
"103","1",107289.95703337,107354.04855651,"ET01","Tigray"
"104","2",103056.982308123,103056.982308123,"ET01","Tigray"
"105","3",99366.603543654,98579.0906850432,"ET01","Tigray"
"106","4",95676.2247791848,94169.8942303348,"ET01","Tigray"
"107","5",91985.8460147156,90154.4542049317,"ET01","Tigray"
"108","6",88295.4672502464,86857.8318697679,"ET01","Tigray"
"109","7",84605.0884857772,84605.0884857772,"ET01","Tigray"
"110","8",84209.6880565362,83579.2964048811,"ET01","Tigray"
"111","9",83814.2876272951,83395.5723429522,"ET01","Tigray"
"112","10",83418.8871980541,83527.0441068508,"ET01","Tigray"
"113","11",83023.486768813,83446.8395034373,"ET01","Tigray"
"114","12",82628.086339572,82628.086339572,"ET01","Tigray"
"115","13",79585.3189175263,80691.1018931213,"ET01","Tigray"
"116","14",76542.5514954805,77844.9613259761,"ET01","Tigray"
"117","15",73499.7840734347,74445.9292710334,"ET01","Tigray"
"118","16",70457.016651389,70850.2703611901,"ET01","Tigray"
"119","17",67414.2492293432,67414.2492293432,"ET01","Tigray"
"120","18",64898.782489953,64412.0420535172,"ET01","Tigray"
"121","19",62383.3157505628,61789.4711922469,"ET01","Tigray"
"122","20",59867.8490111726,59410.2705491945,"ET01","Tigray"
"123","21",57352.3822717824,57138.1740280222,"ET01","Tigray"
"124","22",54836.9155323922,54836.9155323922,"ET01","Tigray"
"125","23",52383.7958980536,52405.808464328,"ET01","Tigray"
"126","24",49930.6762637149,49886.4842192975,"ET01","Tigray"
"127","25",47477.5566293763,47356.1536911298,"ET01","Tigray"
"128","26",45024.4369950376,44892.0277736539,"ET01","Tigray"
"129","27",42571.317360699,42571.317360699,"ET01","Tigray"
"130","28",41069.9974374692,40465.1800548684,"ET01","Tigray"
"131","29",39568.6775142394,38620.5602938631,"ET01","Tigray"
"132","30",38067.3575910096,37078.3492241581,"ET01","Tigray"
"133","31",36566.0376677798,35879.4379922287,"ET01","Tigray"
"134","32",35064.71774455,35064.71774455,"ET01","Tigray"
"135","33",34748.3754954799,34637.4623084185,"ET01","Tigray"
"136","34",34432.0332464098,34450.4762344153,"ET01","Tigray"
"137","35",34115.6909973396,34318.9467539428,"ET01","Tigray"
"138","36",33799.3487482695,34058.0610984033,"ET01","Tigray"
"139","37",33483.0064991994,33483.0064991994,"ET01","Tigray"
"140","38",32095.856138969,32465.9342057393,"ET01","Tigray"
"141","39",30708.7057787387,31106.8515394556,"ET01","Tigray"
"142","40",29321.5554185083,29562.7298397868,"ET01","Tigray"
"143","41",27934.405058278,27990.5404461713,"ET01","Tigray"
"144","42",26547.2546980476,26547.2546980476,"ET01","Tigray"
"145","43",25638.4325398656,25351.8020659502,"ET01","Tigray"
"146","44",24729.6103816837,24370.9445447967,"ET01","Tigray"
"147","45",23820.7882235017,23533.4022606011,"ET01","Tigray"
"148","46",22911.9660653198,22767.8953393769,"ET01","Tigray"
"149","47",22003.1439071378,22003.1439071378,"ET01","Tigray"
"150","48",21410.9472038602,21194.637985094,"ET01","Tigray"
"151","49",20818.7505005827,20404.9471752411,"ET01","Tigray"
"152","50",20226.5537973051,19723.4109747714,"ET01","Tigray"
"153","51",19634.3570940275,19239.368880877,"ET01","Tigray"
"154","52",19042.1603907499,19042.1603907499,"ET01","Tigray"
"155","53",19126.5265193185,19172.9528946644,"ET01","Tigray"
"156","54",19210.8926478871,19480.2253552221,"ET01","Tigray"
"157","55",19295.2587764557,19764.2846281069,"ET01","Tigray"
"158","56",19379.6249050242,19825.4375690026,"ET01","Tigray"
"159","57",19463.9910335928,19463.9910335928,"ET01","Tigray"
"160","58",18191.04799449,18550.4180349789,"ET01","Tigray"
"161","59",16918.1049553872,17235.8562159319,"ET01","Tigray"
"162","60",15645.1619162844,15741.6093766405,"ET01","Tigray"
"163","61",14372.2188771816,14288.9813172932,"ET01","Tigray"
"164","62",13099.2758380787,13099.2758380787,"ET01","Tigray"
"165","63",12719.3093800068,12332.6705263626,"ET01","Tigray"
"166","64",12339.3429219348,11904.8381182182,"ET01","Tigray"
"167","65",11959.3764638629,11670.3251368958,"ET01","Tigray"
"168","66",11579.4100057909,11483.678105646,"ET01","Tigray"
"169","67",11199.443547719,11199.443547719,"ET01","Tigray"
"170","68",10497.7352418963,10707.9065131405,"ET01","Tigray"
"171","69",9796.0269360737,10042.3061590375,"ET01","Tigray"
"172","70",9094.31863025108,9271.62016931255,"ET01","Tigray"
"173","71",8392.61032442845,8464.82622786786,"ET01","Tigray"
"174","72",7690.90201860582,7690.90201860582,"ET01","Tigray"
"175","73",7063.71707279032,7001.43667661209,"ET01","Tigray"
"176","74",6436.53212697483,6378.46514170543,"ET01","Tigray"
"177","75",5809.34718115933,5786.63380488789,"ET01","Tigray"
"178","76",5182.16223534384,5190.58905716151,"ET01","Tigray"
"179","77",4554.97728952834,4554.97728952834,"ET01","Tigray"
"180","78",3906.31703162267,3858.57000628777,"ET01","Tigray"
"181","79",3257.656773717,3136.63916492855,"ET01","Tigray"
"182","80",2608.99651581134,2438.58183623678,"ET01","Tigray"
"183","81",1960.33625790567,1813.79509099856,"ET01","Tigray"
"184","82",1311.676,1311.676,"ET01","Tigray"
"185","83",1151.8288,966.761211338261,"ET01","Tigray"
"186","84",991.9816,754.145682354832,"ET01","Tigray"
"187","85",832.1344,634.063947702272,"ET01","Tigray"
"188","86",672.2872,566.750542033142,"ET01","Tigray"
"189","87",512.44,512.44,"ET01","Tigray"
"190","88",429.0652,439.778272597698,"ET01","Tigray"
"191","89",345.6904,351.056976190245,"ET01","Tigray"
"192","90",262.3156,256.979143483944,"ET01","Tigray"
"193","91",178.9408,168.247807185095,"ET01","Tigray"
"194","92",95.566,95.5659999999999,"ET01","Tigray"
"195","93",77.7328,46.9079062709482,"ET01","Tigray"
"196","94",59.8996,19.3323168841866,"ET01","Tigray"
"197","95",42.0664,7.16917436195094,"ET01","Tigray"
"198","96",24.2332,4.74842122647685,"ET01","Tigray"
"199","97",6.4,6.40000000000003,"ET01","Tigray"
"200","98",6.6,7.48762531598169,"ET01","Tigray"
"201","99",6.8,7.51010025278535,"ET01","Tigray"
"202","100",7,7,"ET01","Tigray"
"203","<1",26068.7319728247,26068.7319728247,"ET02","Afar"
"204","1",25079.2585184611,24782.6053956488,"ET02","Afar"
"205","2",24089.7850640975,24089.7850640975,"ET02","Afar"
"206","3",25608.0060527175,24434.6963783523,"ET02","Afar"
"207","4",27126.2270413376,25666.241356823,"ET02","Afar"
"208","5",28644.4480299577,27484.4411724764,"ET02","Afar"
"209","6",30162.6690185777,29589.316998279,"ET02","Afar"
"210","7",31680.8900071978,31680.8900071978,"ET02","Afar"
"211","8",32772.8253063904,33504.7862734057,"ET02","Afar"
"212","9",33864.7606055831,34989.0514759012,"ET02","Afar"
"213","10",34956.6959047757,36107.336194889,"ET02","Afar"
"214","11",36048.6312039684,36833.291010574,"ET02","Afar"
"215","12",37140.566503161,37140.566503161,"ET02","Afar"
"216","13",36228.0535062055,37011.6410695874,"ET02","Afar"
"217","14",35315.54050925,36464.3043737218,"ET02","Afar"
"218","15",34403.0275122946,35525.1738961651,"ET02","Afar"
"219","16",33490.5145153391,34220.8671175187,"ET02","Afar"
"220","17",32578.0015183836,32578.0015183836,"ET02","Afar"
"221","18",30518.2267269706,30639.6923755602,"ET02","Afar"
"222","19",28458.4519355577,28515.0461506456,"ET02","Afar"
"223","20",26398.6771441447,26329.6671014363,"ET02","Afar"
"224","21",24338.9023527318,24209.1594857286,"ET02","Afar"
"225","22",22279.1275613188,22279.1275613188,"ET02","Afar"
"226","23",20984.1406879591,20632.5511129066,"ET02","Afar"
"227","24",19689.1538145995,19231.9120328047,"ET02","Afar"
"228","25",18394.1669412398,18007.067740229,"ET02","Afar"
"229","26",17099.1800678801,16887.8756543956,"ET02","Afar"
"230","27",15804.1931945205,15804.1931945205,"ET02","Afar"
"231","28",14926.5045820325,14709.4963012195,"ET02","Afar"
"232","29",14048.8159695446,13651.7350007089,"ET02","Afar"
"233","30",13171.1273570567,12702.4778406048,"ET02","Afar"
"234","31",12293.4387445688,11933.2933685234,"ET02","Afar"
"235","32",11415.7501320809,11415.7501320809,"ET02","Afar"
"236","33",11520.2440470591,11196.062023341,"ET02","Afar"
"237","34",11624.7379620373,11219.0243121582,"ET02","Afar"
"238","35",11729.2318770155,11404.0776128344,"ET02","Afar"
"239","36",11833.7257919937,11670.6625396717,"ET02","Afar"
"240","37",11938.2197069719,11938.2197069719,"ET02","Afar"
"241","38",11891.883467893,12136.073951922,"ET02","Afar"
"242","39",11845.5472288141,12233.0870032473,"ET02","Afar"
"243","40",11799.2109897351,12208.0048125581,"ET02","Afar"
"244","41",11752.8747506562,12039.5733314647,"ET02","Afar"
"245","42",11706.5385115772,11706.5385115772,"ET02","Afar"
"246","43",11087.4681563881,11201.9084172983,"ET02","Afar"
"247","44",10468.397801199,10575.7395642,"ET02","Afar"
"248","45",9849.32744600981,9892.35058064649,"ET02","Afar"
"249","46",9230.25709082066,9216.06009500223,"ET02","Afar"
"250","47",8611.18673563152,8611.18673563152,"ET02","Afar"
"251","48",8204.74611016899,8123.4071691602,"ET02","Afar"
"252","49",7798.30548470646,7723.83021526002,"ET02","Afar"
"253","50",7391.86485924392,7364.92273186424,"ET02","Afar"
"254","51",6985.42423378139,6999.1515769061,"ET02","Afar"
"255","52",6578.98360831886,6578.98360831886,"ET02","Afar"
"256","53",6079.05492186046,6073.53215273509,"ET02","Afar"
"257","54",5579.12623540207,5518.49641158474,"ET02","Afar"
"258","55",5079.19754894367,4966.22205499707,"ET02","Afar"
"259","56",4579.26886248528,4469.05475310136,"ET02","Afar"
"260","57",4079.34017602688,4079.34017602688,"ET02","Afar"
"261","58",3917.8395063301,3831.00143558327,"ET02","Afar"
"262","59",3756.33883663333,3684.27141030161,"ET02","Afar"
"263","60",3594.83816693655,3580.96042039338,"ET02","Afar"
"264","61",3433.33749723978,3462.87878607002,"ET02","Afar"
"265","62",3271.836827543,3271.836827543,"ET02","Afar"
"266","63",2907.17436467796,2967.74839409549,"ET02","Afar"
"267","64",2542.51190181292,2582.94145129749,"ET02","Afar"
"268","65",2177.84943894788,2167.84749379073,"ET02","Afar"
"269","66",1813.18697608284,1772.89801621693,"ET02","Afar"
"270","67",1448.52451321781,1448.52451321781,"ET02","Afar"
"271","68",1345.0269523609,1231.40358167213,"ET02","Afar"
"272","69",1241.529391504,1103.19222740685,"ET02","Afar"
"273","70",1138.0318306471,1031.79255848596,"ET02","Afar"
"274","71",1034.5342697902,985.106682973445,"ET02","Afar"
"275","72",931.0367089333,931.0367089333,"ET02","Afar"
"276","73",821.169671446633,845.126363457056,"ET02","Afar"
"277","74",711.302633959966,733.485849746387,"ET02","Afar"
"278","75",601.4355964733,609.866990030507,"ET02","Afar"
"279","76",491.568558986633,488.021606538629,"ET02","Afar"
"280","77",381.701521499966,381.701521499966,"ET02","Afar"
"281","78",336.494017199973,301.389514334712,"ET02","Afar"
"282","79",291.28651289998,244.492193226987,"ET02","Afar"
"283","80",246.079008599986,205.147123551893,"ET02","Afar"
"284","81",200.871504299993,177.49187068453,"ET02","Afar"
"285","82",155.664,155.664,"ET02","Afar"
"286","83",136.6752,134.856835533817,"ET02","Afar"
"287","84",117.6864,114.486735963148,"ET02","Afar"
"288","85",98.6976,95.0258186255692,"ET02","Afar"
"289","86",79.7088,76.9462008586605,"ET02","Afar"
"290","87",60.72,60.72,"ET02","Afar"
"291","88",50.848,46.7188985380009,"ET02","Afar"
"292","89",40.976,34.9128395644149,"ET02","Afar"
"293","90",31.104,25.1713313218284,"ET02","Afar"
"294","91",21.232,17.363882052828,"ET02","Afar"
"295","92",11.36,11.36,"ET02","Afar"
"296","93",9.248,7.00497831417908,"ET02","Afar"
"297","94",7.136,4.04724977919282,"ET02","Afar"
"298","95",5.024,2.21103208711702,"ET02","Afar"
"299","96",2.912,1.22054293002748,"ET02","Afar"
"300","97",0.8,0.800000000000004,"ET02","Afar"
"301","98",0.866666666666667,0.703242267145636,"ET02","Afar"
"302","99",0.933333333333333,0.802593813716509,"ET02","Afar"
"303","100",1,1,"ET02","Afar"
"304","<1",382978.405410725,382978.405410725,"ET03","Amhara"
"305","1",368442.02816977,367679.937739829,"ET03","Amhara"
"306","2",353905.650928815,353905.650928815,"ET03","Amhara"
"307","3",346846.226956057,342838.648007142,"ET03","Amhara"
"308","4",339786.802983299,334297.720682579,"ET03","Amhara"
"309","5",332727.37901054,327760.582832474,"ET03","Amhara"
"310","6",325667.955037782,322704.948334173,"ET03","Amhara"
"311","7",318608.531065024,318608.531065024,"ET03","Amhara"
"312","8",315570.769128672,315022.52516253,"ET03","Amhara"
"313","9",312533.007192321,311792.045804821,"ET03","Amhara"
"314","10",309495.245255969,308835.688430183,"ET03","Amhara"
"315","11",306457.483319618,306072.048476903,"ET03","Amhara"
"316","12",303419.721383266,303419.721383266,"ET03","Amhara"
"317","13",298368.354998213,300710.776750025,"ET03","Amhara"
"318","14",293316.98861316,297431.180827797,"ET03","Amhara"
"319","15",288265.622228106,292980.374029662,"ET03","Amhara"
"320","16",283214.255843053,286757.796768702,"ET03","Amhara"
"321","17",278162.889458,278162.889458,"ET03","Amhara"
"322","18",266252.990107366,266915.329119346,"ET03","Amhara"
"323","19",254343.090756731,254015.739209367,"ET03","Amhara"
"324","20",242433.191406097,240784.979793397,"ET03","Amhara"
"325","21",230523.292055462,228543.910936773,"ET03","Amhara"
"326","22",218613.392704828,218613.392704828,"ET03","Amhara"
"327","23",213552.731284242,211861.972542098,"ET03","Amhara"
"328","24",208492.069863656,207348.947409911,"ET03","Amhara"
"329","25",203431.40844307,203681.301648797,"ET03","Amhara"
"330","26",198370.747022483,199466.019599283,"ET03","Amhara"
"331","27",193310.085601897,193310.085601897,"ET03","Amhara"
"332","28",183330.938176812,184290.478078458,"ET03","Amhara"
"333","29",173351.790751727,173364.151775936,"ET03","Amhara"
"334","30",163372.643326642,161958.05552259,"ET03","Amhara"
"335","31",153393.495901556,151499.138146682,"ET03","Amhara"
"336","32",143414.348476471,143414.348476471,"ET03","Amhara"
"337","33",141224.050782782,138681.974022681,"ET03","Amhara"
"338","34",139033.753089094,136485.657025896,"ET03","Amhara"
"339","35",136843.455395405,135560.37840916,"ET03","Amhara"
"340","36",134653.157701716,134641.119095522,"ET03","Amhara"
"341","37",132462.860008027,132462.860008027,"ET03","Amhara"
"342","38",126708.665680847,128122.829974546,"ET03","Amhara"
"343","39",120954.471353667,122167.249442235,"ET03","Amhara"
"344","40",115200.277026486,115504.586763074,"ET03","Amhara"
"345","41",109446.082699306,109043.310289045,"ET03","Amhara"
"346","42",103691.888372125,103691.888372125,"ET03","Amhara"
"347","43",101564.239509195,100100.186601049,"ET03","Amhara"
"348","44",99436.5906462652,97883.6595115541,"ET03","Amhara"
"349","45",97308.9417833352,96399.1588761328,"ET03","Amhara"
"350","46",95181.2929204051,95003.5364672759,"ET03","Amhara"
"351","47",93053.644057475,93053.644057475,"ET03","Amhara"
"352","48",89775.5143393462,90099.7978307038,"ET03","Amhara"
"353","49",86497.3846212175,86466.1716168669,"ET03","Amhara"
"354","50",83219.2549030887,82670.4036573511,"ET03","Amhara"
"355","51",79941.12518496,79230.1321935435,"ET03","Amhara"
"356","52",76662.9954668312,76662.9954668312,"ET03","Amhara"
"357","53",75542.4304626816,75294.7797114638,"ET03","Amhara"
"358","54",74421.865458532,74683.863133142,"ET03","Amhara"
"359","55",73301.3004543824,74196.771930429,"ET03","Amhara"
"360","56",72180.7354502328,73200.0323018883,"ET03","Amhara"
"361","57",71060.1704460832,71060.1704460832,"ET03","Amhara"
"362","58",66444.1840901045,67359.2149132441,"ET03","Amhara"
"363","59",61828.1977341258,62541.2036602695,"ET03","Amhara"
"364","60",57212.2113781472,57265.6769957251,"ET03","Amhara"
"365","61",52596.2250221685,52192.1752281767,"ET03","Amhara"
"366","62",47980.2386661898,47980.2386661898,"ET03","Amhara"
"367","63",46230.9115405862,45099.8528847197,"ET03","Amhara"
"368","64",44481.5844149827,43262.7845242799,"ET03","Amhara"
"369","65",42732.2572893791,41991.2454917733,"ET03","Amhara"
"370","66",40982.9301637756,40807.447694103,"ET03","Amhara"
"371","67",39233.603038172,39233.603038172,"ET03","Amhara"
"372","68",36360.9736008928,36920.5583286878,"ET03","Amhara"
"373","69",33488.3441636135,34033.6999615761,"ET03","Amhara"
"374","70",30615.7147263343,30867.0492305667,"ET03","Amhara"
"375","71",27743.085289055,27714.62742939,"ET03","Amhara"
"376","72",24870.4558517758,24870.4558517758,"ET03","Amhara"
"377","73",22973.7582422965,22547.1387611078,"ET03","Amhara"
"378","74",21077.0606328172,20631.6122993833,"ET03","Amhara"
"379","75",19180.3630233379,18929.3955782531,"ET03","Amhara"
"380","76",17283.6654138585,17246.0077093681,"ET03","Amhara"
"381","77",15386.9678043792,15386.9678043792,"ET03","Amhara"
"382","78",13246.2654435034,13222.0613697719,"ET03","Amhara"
"383","79",11105.5630826275,10878.139491371,"ET03","Amhara"
"384","80",8964.86072175169,8546.31964983569,"ET03","Amhara"
"385","81",6824.15836087584,6417.71932582556,"ET03","Amhara"
"386","82",4683.456,4683.456,"ET03","Amhara"
"387","83",4112.6672,3480.35279968466,"ET03","Amhara"
"388","84",3541.8784,2728.05543887014,"ET03","Amhara"
"389","85",2971.0896,2291.9152782133,"ET03","Amhara"
"390","86",2400.3008,2037.28367837097,"ET03","Amhara"
"391","87",1829.512,1829.512,"ET03","Amhara"
"392","88",1531.798,1562.4323393316,"ET03","Amhara"
"393","89",1234.084,1243.79973489439,"ET03","Amhara"
"394","90",936.37,909.849960791396,"ET03","Amhara"
"395","91",638.656,596.818791125598,"ET03","Amhara"
"396","92",340.942,340.942,"ET03","Amhara"
"397","93",277.3456,169.142034988961,"ET03","Amhara"
"398","94",213.7492,71.0880375522814,"ET03","Amhara"
"399","95",150.1528,27.1358226211211,"ET03","Amhara"
"400","96",86.5564,17.6412051266405,"ET03","Amhara"
"401","97",22.96,22.96,"ET03","Amhara"
"402","98",24.3066666666667,26.9904292783331,"ET03","Amhara"
"403","99",25.6533333333333,27.8003434226665,"ET03","Amhara"
"404","100",27,27,"ET03","Amhara"
"405","<1",834602.13844534,834602.13844534,"ET04","Oromia"
"406","1",802923.880446561,801837.875157039,"ET04","Oromia"
"407","2",771245.622447783,771245.622447783,"ET04","Oromia"
"408","3",747937.67163689,744419.958740934,"ET04","Oromia"
"409","4",724629.720825998,720645.73383712,"ET04","Oromia"
"410","5",701321.770015106,698630.365381284,"ET04","Oromia"
"411","6",678013.819204214,677081.27101837,"ET04","Oromia"
"412","7",654705.868393322,654705.868393322,"ET04","Oromia"
"413","8",631447.242605485,630637.326275443,"ET04","Oromia"
"414","9",608188.616817648,605711.817931479,"ET04","Oromia"
"415","10",584929.99102981,581191.267752536,"ET04","Oromia"
"416","11",561671.365241973,558337.60012972,"ET04","Oromia"
"417","12",538412.739454136,538412.739454136,"ET04","Oromia"
"418","13",524301.265065121,522206.349905175,"ET04","Oromia"
"419","14",510189.790676106,508619.05481537,"ET04","Oromia"
"420","15",496078.31628709,496079.217305538,"ET04","Oromia"
"421","16",481966.841898075,483015.200496495,"ET04","Oromia"
"422","17",467855.36750906,467855.36750906,"ET04","Oromia"
"423","18",449746.572279516,449601.679241943,"ET04","Oromia"
"424","19",431637.777049971,429550.487705431,"ET04","Oromia"
"425","20",413528.981820427,409571.742687705,"ET04","Oromia"
"426","21",395420.186590882,391535.393976947,"ET04","Oromia"
"427","22",377311.391361338,377311.391361338,"ET04","Oromia"
"428","23",370459.968506455,368083.520347378,"ET04","Oromia"
"429","24",363608.545651572,362290.909314853,"ET04","Oromia"
"430","25",356757.122796688,357686.522361865,"ET04","Oromia"
"431","26",349905.699941805,352023.32358652,"ET04","Oromia"
"432","27",343054.277086922,343054.277086922,"ET04","Oromia"
"433","28",326578.613911755,329257.954073593,"ET04","Oromia"
"434","29",310102.950736588,312015.354206731,"ET04","Oromia"
"435","30",293627.28756142,293433.084258949,"ET04","Oromia"
"436","31",277151.624386253,275617.751002862,"ET04","Oromia"
"437","32",260675.961211086,260675.961211086,"ET04","Oromia"
"438","33",253671.760307699,250097.150099721,"ET04","Oromia"
"439","34",246667.559404312,242902.066658813,"ET04","Oromia"
"440","35",239663.358500924,237494.288321893,"ET04","Oromia"
"441","36",232659.157597537,232277.392522495,"ET04","Oromia"
"442","37",225654.95669415,225654.95669415,"ET04","Oromia"
"443","38",214401.663656213,216460.987104091,"ET04","Oromia"
"444","39",203148.370618277,205251.205354355,"ET04","Oromia"
"445","40",191895.07758034,193011.76188068,"ET04","Oromia"
"446","41",180641.784542403,180728.807118805,"ET04","Oromia"
"447","42",169388.491504466,169388.491504466,"ET04","Oromia"
"448","43",162237.049361949,159755.281592565,"ET04","Oromia"
"449","44",155085.607219432,151706.908414647,"ET04","Oromia"
"450","45",147934.165076915,144899.419121421,"ET04","Oromia"
"451","46",140782.722934398,138988.860863596,"ET04","Oromia"
"452","47",133631.280791881,133631.280791881,"ET04","Oromia"
"453","48",128685.243895275,128529.137199456,"ET04","Oromia"
"454","49",123739.206998668,123570.532949395,"ET04","Oromia"
"455","50",118793.170102062,118689.982047243,"ET04","Oromia"
"456","51",113847.133205456,113821.998498546,"ET04","Oromia"
"457","52",108901.09630885,108901.09630885,"ET04","Oromia"
"458","53",104287.193170045,103898.755761103,"ET04","Oromia"
"459","54",99673.2900312395,98934.3222478653,"ET04","Oromia"
"460","55",95059.3868924343,94164.1074390979,"ET04","Oromia"
"461","56",90445.483753629,89744.4230047634,"ET04","Oromia"
"462","57",85831.5806148238,85831.5806148238,"ET04","Oromia"
