"","Age","pop_linear","pop_spline","adminCode","adminNameAsUsed"
"1","<1",1814239.58690431,1814239.58690431,"ET","Ethiopia"
"2","1",1745378.09508912,1740186.08989337,"ET","Ethiopia"
"3","2",1676516.60327392,1676516.60327392,"ET","Ethiopia"
"4","3",1650033.60261914,1630948.99271945,"ET","Ethiopia"
"5","4",1623550.60196435,1600536.54503139,"ET","Ethiopia"
"6","5",1597067.60130957,1579666.40229318,"ET","Ethiopia"
"7","6",1570584.60065478,1562725.70658823,"ET","Ethiopia"
"8","7",1544101.6,1544101.6,"ET","Ethiopia"
"9","8",1515244.2,1519545.50239807,"ET","Ethiopia"
"10","9",1486386.8,1490265.94479668,"ET","Ethiopia"
"11","10",1457529.4,1458835.73599627,"ET","Ethiopia"
"12","11",1428672,1427827.68479723,"ET","Ethiopia"
"13","12",1399814.6,1399814.6,"ET","Ethiopia"
"14","13",1381579.56,1376680.62976454,"ET","Ethiopia"
"15","14",1363344.52,1357555.27968905,"ET","Ethiopia"
"16","15",1345109.48,1340879.39473129,"ET","Ethiopia"
"17","16",1326874.44,1325093.81984902,"ET","Ethiopia"
"18","17",1308639.4,1308639.4,"ET","Ethiopia"
"19","18",1284138.84,1290151.95934378,"ET","Ethiopia"
"20","19",1259638.28,1269047.23884712,"ET","Ethiopia"
"21","20",1235137.72,1244935.95867856,"ET","Ethiopia"
"22","21",1210637.16,1217428.83900667,"ET","Ethiopia"
"23","22",1186136.6,1186136.6,"ET","Ethiopia"
"24","23",1144498.84,1150819.35366034,"ET","Ethiopia"
"25","24",1102861.08,1111834.77932248,"ET","Ethiopia"
"26","25",1061223.32,1069689.94815445,"ET","Ethiopia"
"27","26",1019585.56,1024891.93132428,"ET","Ethiopia"
"28","27",977947.8,977947.8,"ET","Ethiopia"
"29","28",932812.2,929552.520414854,"ET","Ethiopia"
"30","29",887676.6,881152.639062955,"ET","Ethiopia"
"31","30",842541,834382.597503628,"ET","Ethiopia"
"32","31",797405.4,790876.837296201,"ET","Ethiopia"
"33","32",752269.8,752269.8,"ET","Ethiopia"
"34","33",725461.76,719622.396680241,"ET","Ethiopia"
"35","34",698653.72,691701.416425699,"ET","Ethiopia"
"36","35",671845.68,666700.117831035,"ET","Ethiopia"
"37","36",645037.64,642811.759490915,"ET","Ethiopia"
"38","37",618229.6,618229.6,"ET","Ethiopia"
"39","38",592404.6,591686.328064181,"ET","Ethiopia"
"40","39",566579.6,564072.352834251,"ET","Ethiopia"
"41","40",540754.6,536817.513572231,"ET","Ethiopia"
"42","41",514929.6,511351.64954014,"ET","Ethiopia"
"43","42",489104.6,489104.6,"ET","Ethiopia"
