"","Scenario_ID","Year","Month","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","CI50","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","ComprehensiveModel",2021,1,48,32,222.885,229.533333333334,233.659666666667,238.004166666667,243.291666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"2","ComprehensiveModel",2021,2,48,32,228.054166666667,236.370833333333,241.105166666667,246.245833333333,253.254166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"3","ComprehensiveModel",2021,3,48,32,229.804166666667,238.625,243.237333333333,248.516666666667,255.458333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"4","ComprehensiveModel",2021,4,48,32,227.651666666667,236.9875,241.210166666667,246.85,253.675833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"5","ComprehensiveModel",2021,5,48,32,217.633333333334,226.3,231.166,236.754166666667,243.306666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"6","ComprehensiveModel",2021,6,48,32,226.420833333333,234.3875,238.844666666667,244.1,250.3225,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"7","ComprehensiveModel",2021,7,48,32,237.420833333333,247.233333333333,252.282166666667,257.975,265.280833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"8","ComprehensiveModel",2021,8,48,32,241.61,251.870833333334,256.967333333333,262.716666666667,270.4625,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"9","ComprehensiveModel",2021,9,48,32,238.155833333333,248.466666666667,253.673833333333,259.354166666667,266.860833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"10","ComprehensiveModel",2021,10,48,32,231.779166666667,241.125,246.057,251.570833333333,258.401666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"11","ComprehensiveModel",2021,11,48,32,233.655,242.875,247.355333333333,252.470833333334,258.984166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"12","ComprehensiveModel",2021,12,48,32,230.455,239.379166666667,244.1975,249.570833333334,256.563333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"13","ComprehensiveModel",2022,1,48,32,238.014166666667,249.125,255.02,260.495833333333,270.050833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"14","ComprehensiveModel",2022,2,48,32,238.848333333333,250.2375,255.955833333333,262.041666666667,271.154166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"15","ComprehensiveModel",2022,3,48,32,238.053333333333,249.375,255.1425,262.2125,270.120833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"16","ComprehensiveModel",2022,4,48,32,235.615833333333,246.408333333333,252.190666666667,258.654166666667,267.136666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"17","ComprehensiveModel",2022,5,48,32,225.750833333333,236.633333333333,241.8995,247.55,256.150833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"18","ComprehensiveModel",2022,6,48,32,234.065,244.833333333333,249.615666666667,255.795833333333,263.299166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
