"","Scenario_ID","Year","Month","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","CI50","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","ComprehensiveModel",2021,1,48,32,292.2275,300.2125,307.887333333333,314.05,324.406666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"2","ComprehensiveModel",2021,2,48,32,286.030833333334,294.729166666667,302.3615,308.8875,319.585,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"3","ComprehensiveModel",2021,3,48,32,284.348333333333,294.3875,301.448166666667,308.8875,318.879166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"4","ComprehensiveModel",2021,4,48,32,285.044166666667,294.895833333333,302.550166666667,309.9,320.39,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"5","ComprehensiveModel",2021,5,48,32,279.018333333333,288.758333333333,296.487666666667,304.008333333334,313.746666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"6","ComprehensiveModel",2021,6,48,32,273.1875,282.029166666667,290.176333333333,297.345833333333,307.134166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"7","ComprehensiveModel",2021,7,48,32,265.601666666667,273.4875,281.857666666667,288.604166666667,298.113333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"8","ComprehensiveModel",2021,8,48,32,270.653333333333,278.2875,286.8965,294.270833333333,303.3025,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"9","ComprehensiveModel",2021,9,48,32,275.928333333334,284.529166666667,292.902833333333,300.320833333333,310.886666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"10","ComprehensiveModel",2021,10,48,32,278.768333333334,286.879166666667,295.496833333333,302.5125,313.126666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"11","ComprehensiveModel",2021,11,48,32,282.97,291.183333333334,299.755166666667,306.558333333334,317.895833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"12","ComprehensiveModel",2021,12,48,32,282.06,289.945833333333,298.516333333333,305.041666666667,316.2125,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"13","ComprehensiveModel",2022,1,48,32,279.881666666667,291.829166666667,299.897,307.9,319.8875,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"14","ComprehensiveModel",2022,2,48,32,277.444166666667,292.558333333334,300.325666666667,309.895833333333,319.094166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"15","ComprehensiveModel",2022,3,48,32,278.214166666667,294.070833333333,301.698166666667,311.95,321.416666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"16","ComprehensiveModel",2022,4,48,32,278.286666666667,294.1,302.234333333333,313.483333333333,321.103333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"17","ComprehensiveModel",2022,5,48,32,272.160833333333,287.9125,296.011333333333,307.25,314.375,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"18","ComprehensiveModel",2022,6,48,32,266.6075,282.075,289.940333333333,300.804166666667,308.103333333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"19","ComprehensiveModel",2022,7,48,32,259.020833333334,272.941666666667,281.112833333333,291.704166666667,299.081666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"20","ComprehensiveModel",2022,8,48,32,264.3925,278.041666666667,286.159833333333,297.1875,304.884166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"21","ComprehensiveModel",2022,9,48,32,269.095,283.966666666667,291.780166666667,302.245833333333,310.875,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"22","ComprehensiveModel",2022,10,48,32,271.543333333333,286.108333333333,294.0775,304.716666666667,313.549166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"23","ComprehensiveModel",2022,11,48,32,275.240833333334,290.4375,297.927666666667,308.216666666667,317.043333333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"24","ComprehensiveModel",2022,12,48,32,274.015833333334,289.004166666667,296.523166666667,306.554166666667,315.136666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
