"","Scenario_ID","Year","Month","WeeksPerYr","HrsPerWeek","CI05","CI25","CI50","CI75","CI95","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","BasicModel",2021,1,48,32,216.843333333333,221.1125,227.738,231.583333333333,241.335,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"2","BasicModel",2021,2,48,32,220.299166666667,224.908333333333,231.926666666667,236.266666666667,246.115,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"3","BasicModel",2021,3,48,32,221.885833333333,226.883333333333,233.364333333333,238.2625,249.345833333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"4","BasicModel",2021,4,48,32,218.853333333333,223.8875,229.836666666667,235.020833333333,245.9025,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"5","BasicModel",2021,5,48,32,214.216666666667,219.35,224.952666666667,229.683333333333,240.861666666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"6","BasicModel",2021,6,48,32,211.006666666667,216.195833333333,221.657333333333,226.391666666667,237.653333333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"7","BasicModel",2021,7,48,32,211.048333333333,215.858333333333,221.613666666667,226.245833333333,237.065833333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"8","BasicModel",2021,8,48,32,209.633333333333,214.758333333333,220.267666666667,225.1625,235.798333333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"9","BasicModel",2021,9,48,32,215.285,220.95,226.513,231.733333333333,242.315833333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"10","BasicModel",2021,10,48,32,218.93,225.15,230.612666666667,235.5625,246.709166666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"11","BasicModel",2021,11,48,32,220.01,226.2,231.953,236.570833333333,247.711666666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"12","BasicModel",2021,12,48,32,217.031666666667,222.695833333333,228.678,233.4625,244.3975,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"13","BasicModel",2022,1,48,32,219.4775,228.754166666667,234.537,241.470833333333,250.285833333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"14","BasicModel",2022,2,48,32,222.495,232.516666666667,238.600666666667,245.55,254.748333333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"15","BasicModel",2022,3,48,32,223.558333333333,232.904166666667,239.772666666667,247.1125,256.218333333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
