"","Scenario_ID","Year","WeeksPerYr","HrsPerWeek","CI05","CI25","MeanHrs","CI75","CI95","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","BasicModel",2021,48,32,5521.60083333334,5632.65000000001,5715.72166666668,5780.62500000001,5955.37333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"2","BasicModel",2022,48,32,5583.46083333334,5740.81666666668,5816.71800000001,5896.42500000001,6038.25833333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"3","BasicModel",2023,48,32,5658.82833333335,5805.58333333334,5911.71333333334,6020.57083333333,6172.52250000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"4","BasicModel",2024,48,32,5753.16916666668,5876.12916666667,5995.19300000001,6139.54166666667,6270.66583333335,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"5","BasicModel",2025,48,32,6011.50166666668,6148.2,6271.64566666668,6375.99166666668,6589.12666666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"6","BasicModel",2026,48,32,6007.90250000001,6182.35,6308.18200000001,6433.49583333335,6640.055,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"7","BasicModel",2027,48,32,6010.68416666668,6219.22083333335,6362.02500000001,6512.66250000001,6699.55416666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"8","BasicModel",2028,48,32,6020.03833333333,6272.04583333334,6436.73233333335,6604.29166666667,6824.27916666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"9","BasicModel",2029,48,32,6031.11166666667,6286.02083333334,6497.86433333334,6664.69583333335,6995.52416666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"10","BasicModel",2030,48,32,6277.66083333334,6559.10000000001,6769.22133333335,6908.4125,7309.71166666669,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
