"","Scenario_ID","Year","WeeksPerYr","HrsPerWeek","CI05","CI25","CI50","CI75","CI95","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","BasicModel",2021,48,32,2595.11,2661.12500000001,2729.11366666667,2788.46666666667,2915.42666666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"2","BasicModel",2022,48,32,2612.96833333334,2716.74583333334,2798.05400000001,2883.6375,2990.94666666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"3","BasicModel",2023,48,32,2650.50416666667,2769.5125,2868.49333333334,2970.74583333334,3102.59000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"4","BasicModel",2024,48,32,2678.5375,2845.39583333333,2927.885,3011.45416666667,3193.20916666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"5","BasicModel",2025,48,32,2706.26333333334,2848.00833333334,2965.97366666667,3054.92500000001,3241.06000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"6","BasicModel",2026,48,32,2729.5675,2862.1125,2986.57,3096.2875,3291.23833333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"7","BasicModel",2027,48,32,2707.3025,2891.32500000001,3018.305,3106.4625,3333.08666666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"8","BasicModel",2028,48,32,2702.375,2918.3125,3069.17633333334,3185.18750000001,3442.67666666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"9","BasicModel",2029,48,32,2683.23166666667,2939.25,3111.44033333334,3216.03333333334,3528.57833333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"10","BasicModel",2030,48,32,2678.38750000001,2947.94166666667,3144.90133333334,3280.82083333334,3633.68416666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"11","BasicModel",2031,48,32,2695.715,2974.74583333334,3175.37233333334,3319.50833333334,3709.81833333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"12","BasicModel",2032,48,32,2743.59166666667,2984.80833333334,3211.952,3340.22916666668,3662.40083333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"13","BasicModel",2033,48,32,2756.3275,3036.27083333334,3255.30033333334,3397.94583333334,3770.73916666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"14","BasicModel",2034,48,32,2788.02,3071.00833333334,3297.53866666667,3496.57500000001,3866.51500000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"15","BasicModel",2035,48,32,2759.61666666667,3115.15,3332.38333333334,3587.60416666668,3882.93916666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"16","ComprehensiveModel",2021,48,32,3326.84500000001,3418.74166666667,3482.26233333334,3538.79166666668,3658.76500000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"17","ComprehensiveModel",2022,48,32,3321.33250000001,3490.30833333334,3546.01833333334,3650.725,3758.60583333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"18","ComprehensiveModel",2023,48,32,3345.74916666668,3511.69583333334,3611.10733333334,3729.87916666667,3834.68000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"19","ComprehensiveModel",2024,48,32,3352.53916666668,3593.80833333334,3672.68133333334,3816.87083333334,3920.77666666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"20","ComprehensiveModel",2025,48,32,3412.51833333334,3598.79166666667,3738.79733333334,3863.04166666667,4027.81,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"21","ComprehensiveModel",2026,48,32,3410.495,3649.25416666667,3789.69233333334,3977.59166666667,4113.00083333335,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"22","ComprehensiveModel",2027,48,32,3455.82666666668,3656.12916666667,3818.93366666667,4020.22916666666,4205.01916666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"23","ComprehensiveModel",2028,48,32,3451.87416666668,3714.21666666667,3855.78633333334,4046.41250000001,4255.46333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"24","ComprehensiveModel",2029,48,32,3436.22000000001,3710.56666666668,3883.63333333334,4082.85833333334,4299.70750000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"25","ComprehensiveModel",2030,48,32,3420.56833333333,3718.4125,3929.23566666667,4121.85416666667,4414.01916666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"26","ComprehensiveModel",2031,48,32,3467.22416666667,3768.1,3967.29333333334,4179.94583333335,4509.24250000002,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
