"","Scenario_ID","Year","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","CI50","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","ComprehensiveModel",2021,48,32,3356.92333333334,3458.63333333334,3556.33650000001,3639.18333333335,3761.48833333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"2","ComprehensiveModel",2022,48,32,3264.45083333335,3447.64166666667,3537.68800000001,3667.03750000002,3755.71250000001,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"3","ComprehensiveModel",2023,48,32,3243.50416666667,3396.5375,3521.39750000001,3648.46666666668,3793.05666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"4","ComprehensiveModel",2024,48,32,3188.92750000002,3346.55416666667,3503.81750000001,3643.10416666668,3813.65500000001,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"5","ComprehensiveModel",2025,48,32,3138.52333333333,3315.69166666667,3484.45883333334,3660.14166666667,3830.62750000001,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"6","ComprehensiveModel",2026,48,32,3169.34083333334,3329.75833333334,3515.16933333334,3671.61250000002,3896.84000000001,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"7","ComprehensiveModel",2027,48,32,3168.8,3333.70416666667,3544.62300000001,3738.60000000001,3951.99666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"8","ComprehensiveModel",2028,48,32,3143.69333333333,3384.68333333334,3573.74016666668,3762.27083333334,4018.93166666669,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"9","ComprehensiveModel",2029,48,32,3152.40166666667,3424.20833333334,3612.05433333334,3829.80833333334,4101.93916666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
"10","ComprehensiveModel",2030,48,32,3112.44000000001,3462.87916666667,3644.10433333334,3851.70416666667,4184.08916666668,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Tigray",NA
