"","Scenario_ID","Year","Month","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","CI50","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","ComprehensiveModel",2021,1,48,32,285.176666666667,293.816666666667,299.279166666667,305.283333333333,313.14,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"2","ComprehensiveModel",2021,2,48,32,288.465833333334,297.754166666667,304.555166666667,311.1625,321.7375,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"3","ComprehensiveModel",2021,3,48,32,289.286666666667,300.345833333333,306.777666666667,313.9875,323.941666666666,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"4","ComprehensiveModel",2021,4,48,32,282.884166666667,293.658333333333,300.365166666667,307.5625,317.2125,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"5","ComprehensiveModel",2021,5,48,32,276.844166666667,287.645833333334,293.713666666667,300.970833333333,309.843333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"6","ComprehensiveModel",2021,6,48,32,271.859166666667,282.154166666667,288.987,296.1,305.846666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"7","ComprehensiveModel",2021,7,48,32,271.643333333334,281.166666666667,288.360333333333,295.416666666667,304.715833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"8","ComprehensiveModel",2021,8,48,32,270.13,279.583333333333,286.6435,293.679166666667,303.183333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"9","ComprehensiveModel",2021,9,48,32,275.915,285.6375,292.755666666667,299.783333333334,309.405,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"10","ComprehensiveModel",2021,10,48,32,275.45,285.104166666667,291.864666666667,298.491666666667,308.935833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
