"","Scenario_ID","Year","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","MeanHrs","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","ComprehensiveModel",2021,48,32,6227.49250000002,6346.90000000001,6429.16016666668,6500.95416666668,6613.83750000001,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"2","ComprehensiveModel",2022,48,32,6355.73250000001,6523.27083333334,6610.05166666668,6705.66250000001,6813.35000000002,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"3","ComprehensiveModel",2023,48,32,6517.20250000002,6682.92083333334,6787.21550000001,6917.15416666667,7011.88583333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"4","ComprehensiveModel",2024,48,32,6649.15500000001,6813.18749999999,6952.99366666668,7086.61250000001,7247.53583333332,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"5","ComprehensiveModel",2025,48,32,7131.36333333335,7379.59166666669,7546.69750000001,7681.19583333336,7938.38166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"6","ComprehensiveModel",2026,48,32,7246.15166666666,7475.92916666668,7646.80133333334,7838.24583333334,8117.95166666669,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"7","ComprehensiveModel",2027,48,32,7290.49333333335,7504.52916666666,7717.47000000001,7904.92500000001,8211.21666666668,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"8","ComprehensiveModel",2028,48,32,7326.40000000002,7560.57500000001,7779.11050000001,7974.62916666667,8332.72416666668,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"9","ComprehensiveModel",2029,48,32,7323.07333333335,7589.15416666669,7840.66666666668,8045.40000000003,8401.89249999999,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"10","ComprehensiveModel",2030,48,32,7346.1691666667,7623.97083333335,7893.88950000001,8078.51666666668,8470.5016666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"11","ComprehensiveModel",2031,48,32,7346.96333333335,7659.92083333334,7928.97950000001,8143.4125,8548.62916666666,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"12","ComprehensiveModel",2032,48,32,7310.9525,7653.06250000001,7964.49383333335,8214.95416666669,8654.22333333335,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"13","ComprehensiveModel",2033,48,32,7321.82166666669,7676.82500000001,7977.10333333335,8216.32916666668,8690.58166666668,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"14","ComprehensiveModel",2034,48,32,7343.55500000001,7662.80000000001,7993.10266666668,8287.06666666669,8734.32333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"15","ComprehensiveModel",2035,48,32,7329.33083333335,7670.80000000002,7995.34150000001,8296.57916666667,8757.87333333335,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"16","Comprehensive_A",2021,48,32,6148.5275,6260.89166666669,6330.36866666668,6395.52916666667,6496.84916666666,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"17","Comprehensive_A",2022,48,32,6171.08750000001,6322.72083333334,6400.03600000001,6496.87083333334,6567.23583333334,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"18","Comprehensive_A",2023,48,32,6219.99333333334,6346.93333333334,6457.77716666668,6560.82500000001,6652.18666666668,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"19","Comprehensive_A",2024,48,32,6236.75250000001,6387.24166666668,6501.88650000001,6606.74583333334,6722.78333333333,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"20","Comprehensive_A",2025,48,32,6655.69416666668,6850.81250000001,6967.18483333334,7075.35000000001,7248.53583333334,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"21","Comprehensive_A",2026,48,32,6637.81916666667,6831.60000000002,6944.80800000001,7064.43333333334,7257.12416666668,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"22","Comprehensive_A",2027,48,32,6601.09250000002,6764.66250000001,6897.22200000001,7002.16666666669,7208.77500000003,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
"23","Comprehensive_A",2028,48,32,6546.94833333336,6715.01250000001,6843.65066666668,6964.71666666668,7133.19000000002,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Addis Ababa",NA
