"","Scenario_ID","Year","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","MeanHrs","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","ComprehensiveModel",2021,48,32,6491.67666666669,6599.87500000001,6682.06183333335,6761.69166666668,6883.01166666669,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"2","ComprehensiveModel",2022,48,32,6525.16250000001,6671.50000000002,6770.20750000001,6878.14166666669,6994.62500000001,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"3","ComprehensiveModel",2023,48,32,6568.7941666667,6738.77916666667,6848.66550000001,6985.72083333333,7100.67416666666,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"4","ComprehensiveModel",2024,48,32,6587.72416666669,6788.52916666668,6919.02650000001,7045.06250000002,7237.49166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"5","ComprehensiveModel",2025,48,32,7040.32583333334,7248.59166666668,7418.30533333335,7555.20416666668,7836.62416666666,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"6","ComprehensiveModel",2026,48,32,7052.32666666668,7275.34166666668,7472.82733333335,7648.24583333335,7957.44750000002,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"7","ComprehensiveModel",2027,48,32,7107.77916666668,7309.11250000002,7519.57766666668,7683.50833333335,8061.28583333335,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"8","ComprehensiveModel",2028,48,32,7090.00750000002,7316.15416666668,7559.90500000001,7728.08750000001,8115.82416666669,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"9","ComprehensiveModel",2029,48,32,7127.90750000001,7340.38750000002,7605.10616666668,7814.69583333335,8155.0875,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"10","ComprehensiveModel",2030,48,32,7126.29000000002,7404.65833333334,7653.08766666668,7845.09166666668,8293.04416666668,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"11","ComprehensiveModel",2031,48,32,7135.28083333334,7414.23333333336,7696.02433333335,7903.36666666668,8332.68166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
