"","Scenario_ID","Year","WeeksPerYr","HrsPerWeek","CI05","CI25","CI50","CI75","CI95","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","BasicModel",2021,48,32,2680.89333333334,2751,2743.95,2768.86666666667,2775.01333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"2","BasicModel",2022,48,32,2753.07333333333,2770.56666666667,2825.94,2881.15000000001,2901.71000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"3","BasicModel",2023,48,32,2840.93333333334,2884.46666666667,2914.69666666667,2971.88333333334,2979.11,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"4","BasicModel",2024,48,32,2901.67333333334,2922.10000000001,2987.45333333334,3032.56666666668,3076.83333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"5","BasicModel",2025,48,32,2821.91666666666,2960.65,3009.08666666667,3100.83333333334,3157.99333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"6","BasicModel",2026,48,32,2807.67000000001,3002.21666666667,3006.13333333334,3097.76666666667,3137.03333333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"7","BasicModel",2027,48,32,2741.12,2897.60000000001,3006.89,3101.3,3251.70000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"8","BasicModel",2028,48,32,2715.35,2852.74999999999,3032.33333333334,3160.15,3329.53666666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"9","BasicModel",2029,48,32,2719.23666666667,2895.71666666666,3102.91666666667,3319.96666666667,3428.43333333333,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"10","BasicModel",2030,48,32,2753.41000000001,2938.91666666667,3125.14,3264.48333333333,3414.49666666667,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"11","BasicModel",2031,48,32,2772.01333333334,2962.73333333334,3147.30000000001,3330.68333333334,3478.09666666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"12","BasicModel",2032,48,32,2816.41,3033.98333333334,3179.93333333334,3399.16666666667,3543.58000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"13","BasicModel",2033,48,32,2861.78666666667,3159.06666666667,3212.97333333334,3370.2,3527.93333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"14","BasicModel",2034,48,32,2911.94333333334,3213.45000000001,3248.74666666667,3294.36666666668,3572.55333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"15","BasicModel",2035,48,32,2917.15666666667,3209.38333333334,3274.96000000001,3399.46666666668,3595.88000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"16","ComprehensiveModel",2021,48,32,3373.79000000001,3447.15000000001,3521.42000000001,3580.90000000001,3674.35333333335,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"17","ComprehensiveModel",2022,48,32,3490.63666666667,3496.45000000001,3625.20666666667,3786.38333333334,3839.83666666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"18","ComprehensiveModel",2023,48,32,3544.11,3551.75,3674.87,3813.65000000001,3853.50333333334,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"19","ComprehensiveModel",2024,48,32,3616.45666666668,3623.75000000001,3736.75000000001,3844.08333333334,3916.79000000001,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"20","ComprehensiveModel",2025,48,32,3629.75666666667,3753.91666666667,3835.94666666667,4002.21666666667,4053.85666666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"21","ComprehensiveModel",2026,48,32,3616.21666666667,3729.68333333335,3869.94666666668,4122.38333333335,4137.02333333335,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
"22","ComprehensiveModel",2027,48,32,3546.84333333335,3756.41666666668,3912.64000000001,4204.90000000001,4218.28666666668,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Ethiopia",NA
