"","Scenario_ID","Year","Month","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","CI50","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","ComprehensiveModel",2021,1,48,32,250.205833333333,257.954166666667,261.7055,266.129166666667,273.3675,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"2","ComprehensiveModel",2021,2,48,32,256.7075,265.470833333334,271.051,276.429166666667,284.295,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"3","ComprehensiveModel",2021,3,48,32,257.143333333333,267.4,273.254166666667,278.816666666667,287.139166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"4","ComprehensiveModel",2021,4,48,32,254.485833333333,265.058333333334,270.331166666667,275.720833333333,283.853333333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"5","ComprehensiveModel",2021,5,48,32,258.609166666667,268.833333333334,274.229333333333,280.116666666667,287.598333333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"6","ComprehensiveModel",2021,6,48,32,260.46,270.2625,276.6935,283.533333333334,290.951666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"7","ComprehensiveModel",2021,7,48,32,251.8125,261.4625,267.701833333333,274.641666666667,281.59,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"8","ComprehensiveModel",2021,8,48,32,251.275,260.458333333334,266.107666666667,272.95,279.164166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"9","ComprehensiveModel",2021,9,48,32,254.321666666667,263.495833333333,269.965166666667,276.95,284.15,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"10","ComprehensiveModel",2021,10,48,32,255.789166666667,264.6625,271.125666666667,277.970833333333,284.548333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"11","ComprehensiveModel",2021,11,48,32,253.360833333333,262.645833333333,268.4725,274.683333333333,282.17,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"12","ComprehensiveModel",2021,12,48,32,245.994166666667,254.820833333333,259.836333333333,265.608333333333,273.15,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"13","ComprehensiveModel",2022,1,48,32,249.6425,261.966666666667,267.382,274.233333333333,281.170833333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"14","ComprehensiveModel",2022,2,48,32,257.514166666667,271.270833333333,276.738,285.129166666667,292.563333333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"15","ComprehensiveModel",2022,3,48,32,258.8825,272.5125,278.814833333334,287.408333333334,294.436666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"16","ComprehensiveModel",2022,4,48,32,256.129166666667,268.970833333333,275.3225,284.033333333334,290.7075,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"17","ComprehensiveModel",2022,5,48,32,259.578333333334,272.983333333334,279.237333333333,288.0375,295.4175,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"18","ComprehensiveModel",2022,6,48,32,261.389166666667,274.7875,281.7905,291.166666666667,297.8725,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"19","ComprehensiveModel",2022,7,48,32,252.848333333333,265.816666666667,272.624166666667,281.608333333333,288.413333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"20","ComprehensiveModel",2022,8,48,32,252.154166666667,264.879166666667,271.006833333333,279.566666666667,286.475,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
"21","ComprehensiveModel",2022,9,48,32,254.965833333333,268.0375,274.900166666667,284.45,291.061666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Dire Dawa",NA
