"","Scenario_ID","Year","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","MeanHrs","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","ComprehensiveModel",2021,48,32,6677.58083333333,6795.56250000002,6875.74116666668,6936.96666666667,7101.96666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","SNNPR",NA
"2","ComprehensiveModel",2022,48,32,6653.39583333336,6816.20833333335,6908.32266666668,7020.00416666668,7158.80916666668,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","SNNPR",NA
"3","ComprehensiveModel",2023,48,32,6635.84666666667,6817.95833333332,6947.56433333335,7089.33750000002,7198.73083333335,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","SNNPR",NA
"4","ComprehensiveModel",2024,48,32,6639.76000000002,6857.17916666668,6996.11133333335,7136.48750000004,7286.90416666668,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","SNNPR",NA
"5","ComprehensiveModel",2025,48,32,7062.27583333337,7323.6541666667,7483.49416666669,7651.27916666669,7858.815,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","SNNPR",NA
"6","ComprehensiveModel",2026,48,32,7105.07333333336,7411.42500000002,7581.34216666668,7758.95416666667,8017.78833333335,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","SNNPR",NA
"7","ComprehensiveModel",2027,48,32,7186.45166666668,7484.85000000002,7683.56833333335,7877.00000000002,8177.56583333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","SNNPR",NA
"8","ComprehensiveModel",2028,48,32,7282.05833333334,7541.56666666669,7787.30066666668,7990.93333333335,8352.27416666669,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","SNNPR",NA
"9","ComprehensiveModel",2029,48,32,7326.83666666669,7639.26250000002,7902.54516666668,8174.47083333335,8530.81833333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","SNNPR",NA
"10","ComprehensiveModel",2030,48,32,7427.10166666668,7726.75000000002,8021.97783333335,8306.19583333334,8652.66000000004,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","SNNPR",NA
