"","Scenario_ID","Year","Month","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","CI50","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","DHS1900",2021,1,48,32,286.344166666667,294.3625,299.707666666667,305.575,313.931666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"2","DHS1900",2021,2,48,32,288.766666666667,299.170833333333,305.276,311.7,321.009166666666,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"3","DHS1900",2021,3,48,32,289.785833333333,301.5125,307.6105,314.825,322.953333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"4","DHS1900",2021,4,48,32,283.065833333333,295.091666666667,301.182166666667,308.345833333333,316.336666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"5","DHS1900",2021,5,48,32,276.961666666667,288.375,294.510333333333,301.870833333333,308.999166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"6","DHS1900",2021,6,48,32,272.7675,283.6875,289.818666666667,297.104166666667,305.021666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"7","DHS1900",2021,7,48,32,271.939166666667,282.9375,289.177,296.308333333333,303.933333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"8","DHS1900",2021,8,48,32,271.098333333333,281.1,287.4865,294.783333333334,302.498333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"9","DHS1900",2021,9,48,32,276.650833333334,287.316666666667,293.642333333333,300.620833333334,308.8025,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"10","DHS1900",2021,10,48,32,276.6175,286.483333333333,292.763,299.620833333333,308.4,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"11","DHS1900",2021,11,48,32,278.8875,288.529166666667,294.615166666667,300.695833333334,310.071666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"12","DHS1900",2021,12,48,32,272.193333333333,281.458333333333,287.281833333333,292.975,303.199166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"13","DHS1900",2022,1,48,32,275.295833333333,288.7,294.113833333333,302.016666666667,309.74,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"14","DHS1900",2022,2,48,32,283.426666666667,299.6,305.8995,315.575,323.929166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"15","DHS1900",2022,3,48,32,287.896666666667,302.795833333334,309.8665,320.258333333333,327.326666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"16","DHS1900",2022,4,48,32,281.300833333334,296.391666666667,303.148666666667,313.541666666667,320.495,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"17","DHS1900",2022,5,48,32,275.131666666667,289.708333333333,296.23,306.2,312.4325,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"18","DHS1900",2022,6,48,32,270.175833333334,285.033333333333,291.694833333333,301.416666666667,308.430833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"19","DHS1900",2022,7,48,32,269.250833333334,283.6375,290.525333333333,300.704166666667,307.149166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"20","DHS1900",2022,8,48,32,267.700833333334,282.3125,288.785,298.629166666667,304.760833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"21","DHS1900",2022,9,48,32,273.198333333334,287.958333333333,294.604333333333,304.633333333333,311.191666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"22","DHS1900",2022,10,48,32,272.034166666667,286.691666666667,293.2405,303.529166666667,310.138333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"23","DHS1900",2022,11,48,32,273.636666666667,287.925,294.566166666667,304.3875,310.8825,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"24","DHS1900",2022,12,48,32,266.896666666667,281.2625,286.981333333333,296.195833333333,303.699166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"25","DHS1900",2023,1,48,32,272.605833333334,284.520833333334,293.927,303.745833333333,312.918333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
"26","DHS1900",2023,2,48,32,283.335,295.816666666667,306.163666666667,316.083333333333,326.0425,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues_DHS1900","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Oromia",NA
