"","Scenario_ID","Year","Month","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","CI50","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","ComprehensiveModel",2021,1,48,32,270.191666666667,276.733333333334,282.336833333334,286.516666666667,294.68,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"2","ComprehensiveModel",2021,2,48,32,261.1125,270.245833333333,274.9155,279.875,287.893333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"3","ComprehensiveModel",2021,3,48,32,262.0725,273.916666666667,277.801,282.6875,290.971666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"4","ComprehensiveModel",2021,4,48,32,261.749166666667,274.5625,278.7295,284.175,292.629166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"5","ComprehensiveModel",2021,5,48,32,255.105833333333,267.395833333333,271.403666666667,276.758333333333,284.745,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"6","ComprehensiveModel",2021,6,48,32,243.318333333333,253.770833333334,258.001666666667,263.7625,271.575,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"7","ComprehensiveModel",2021,7,48,32,241.92,251.095833333333,255.554166666667,261.054166666667,268.729166666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"8","ComprehensiveModel",2021,8,48,32,251.9025,261.658333333333,266.730333333333,272.979166666667,280.330833333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"9","ComprehensiveModel",2021,9,48,32,262.025833333333,272.379166666667,278.252833333333,284.558333333334,292.775,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"10","ComprehensiveModel",2021,10,48,32,259.711666666667,270.179166666667,276.250833333334,282.195833333333,290.926666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"11","ComprehensiveModel",2021,11,48,32,256.1375,266.3125,271.791,277.308333333334,284.84,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"12","ComprehensiveModel",2021,12,48,32,255.615833333333,266.895833333333,271.745333333333,276.554166666667,285.1875,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"13","ComprehensiveModel",2022,1,48,32,257.1725,269.475,275.1915,282.316666666667,293.286666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"14","ComprehensiveModel",2022,2,48,32,256.536666666667,268.875,274.829666666667,282.025,291.0475,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
"15","ComprehensiveModel",2022,3,48,32,260.8175,274.2375,280.294166666667,287.725,296.915,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Amhara",NA
