"","Scenario_ID","DeliveryModel.x","Year","WeeksPerYr.x","Cadre","CI05","CI25","CI50","CI75","CI95","WeeksPerYr.y","HrsPerWeek","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel.y","Geography_dontedit","Notes"
"53","BasicServices","Basic",2028,48,"HO_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"54","BasicServices","Basic",2028,48,"MW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"55","BasicServices","Basic",2028,48,"RN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"56","BasicServices","Basic",2028,48,"UN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"57","BasicServices","Basic",2029,48,"EH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"58","BasicServices","Basic",2029,48,"FH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"59","BasicServices","Basic",2029,48,"HEW_hrs",755.53,880.745833333334,970.712833333333,1057.1375,1173.98333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"60","BasicServices","Basic",2029,48,"HO_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"61","BasicServices","Basic",2029,48,"MW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"62","BasicServices","Basic",2029,48,"RN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"63","BasicServices","Basic",2029,48,"UN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"64","BasicServices","Basic",2030,48,"EH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"65","BasicServices","Basic",2030,48,"FH_hrs",415.297916666667,475.491666666667,530.027666666667,588.76875,641.380833333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"66","BasicServices","Basic",2030,48,"HEW_hrs",326.174583333333,400.883333333333,448.821833333333,490.779166666667,574.36875,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"67","BasicServices","Basic",2030,48,"HO_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"68","BasicServices","Basic",2030,48,"MW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"69","BasicServices","Basic",2030,48,"RN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"70","BasicServices","Basic",2030,48,"UN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"71","BasicServices","Basic",2031,48,"EH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"72","BasicServices","Basic",2031,48,"FH_hrs",419.06625,478.258333333333,534.993833333333,595.875,654.52,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"73","BasicServices","Basic",2031,48,"HEW_hrs",324.359166666667,403.560416666667,451.764833333333,500.7125,577.971250000001,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"74","BasicServices","Basic",2031,48,"HO_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"75","BasicServices","Basic",2031,48,"MW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"76","BasicServices","Basic",2031,48,"RN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"77","BasicServices","Basic",2031,48,"UN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"78","BasicServices","Basic",2032,48,"EH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"79","BasicServices","Basic",2032,48,"FH_hrs",406.926666666667,472.525,541.111666666667,606.1125,661.776666666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"80","BasicServices","Basic",2032,48,"HEW_hrs",323.6525,394.4875,452.373166666667,515.495833333333,587.00375,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"81","BasicServices","Basic",2032,48,"HO_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"82","BasicServices","Basic",2032,48,"MW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"83","BasicServices","Basic",2032,48,"RN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"84","BasicServices","Basic",2032,48,"UN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"85","BasicServices","Basic",2033,48,"EH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"86","BasicServices","Basic",2033,48,"FH_hrs",413.709166666667,470.552083333333,544.572333333333,612.495833333333,673.297499999999,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"87","BasicServices","Basic",2033,48,"HEW_hrs",311.641666666666,398.93125,454.296,506.235416666667,606.692500000001,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"88","BasicServices","Basic",2033,48,"HO_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"89","BasicServices","Basic",2033,48,"MW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"90","BasicServices","Basic",2033,48,"RN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"91","BasicServices","Basic",2033,48,"UN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"92","BasicServices","Basic",2034,48,"EH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"93","BasicServices","Basic",2034,48,"FH_hrs",411.350416666667,471.28125,548.968916666667,609.822916666666,702.3525,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"94","BasicServices","Basic",2034,48,"HEW_hrs",315.4975,390.0875,458.210583333333,507.6625,614.215833333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"95","BasicServices","Basic",2034,48,"HO_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"96","BasicServices","Basic",2034,48,"MW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"97","BasicServices","Basic",2034,48,"RN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"98","BasicServices","Basic",2034,48,"UN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"99","BasicServices","Basic",2035,48,"EH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"100","BasicServices","Basic",2035,48,"FH_hrs",739.335,894.75,1013.3155,1099.54583333333,1281.75333333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"101","BasicServices","Basic",2035,48,"HEW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"102","BasicServices","Basic",2035,48,"HO_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"103","BasicServices","Basic",2035,48,"MW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"104","BasicServices","Basic",2035,48,"RN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"105","BasicServices","Basic",2035,48,"UN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_basic","PopValues","SeasonalityCurves","Cadres","Basic","Ethiopia",NA
"106","Expanded","Expanded",2021,48,"EH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"107","Expanded","Expanded",2021,48,"FH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"108","Expanded","Expanded",2021,48,"HEW_hrs",1490.07,1532.4,1571.95,1609.22083333333,1664.50916666666,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"109","Expanded","Expanded",2021,48,"HO_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"110","Expanded","Expanded",2021,48,"MW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"111","Expanded","Expanded",2021,48,"RN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"112","Expanded","Expanded",2021,48,"UN_hrs",240,240,240,240,240,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"113","Expanded","Expanded",2022,48,"EH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"114","Expanded","Expanded",2022,48,"FH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"115","Expanded","Expanded",2022,48,"HEW_hrs",1503.6575,1549.025,1603.68083333333,1649.4125,1704.98583333333,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"116","Expanded","Expanded",2022,48,"HO_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"117","Expanded","Expanded",2022,48,"MW_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"118","Expanded","Expanded",2022,48,"RN_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"119","Expanded","Expanded",2022,48,"UN_hrs",240,240,240,240,240,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"120","Expanded","Expanded",2023,48,"EH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"121","Expanded","Expanded",2023,48,"FH_hrs",0,0,0,0,0,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
"122","Expanded","Expanded",2023,48,"HEW_hrs",1515.94,1574.12916666666,1629.78883333333,1676.375,1741.5625,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TaskValues_ref","PopValues","SeasonalityCurves","Cadres","Expanded","Ethiopia",NA
