"","Scenario_ID","Year","WeeksPerYr.x","HrsPerWeek.x","CI05","CI25","MeanHrs","CI75","CI95","WeeksPerYr.y","HrsPerWeek.y","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","ComprehensiveModel",2021,48,32,6581.16333333336,6688.29583333334,6776.87850000001,6849.61250000001,6983.74499999999,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"2","ComprehensiveModel",2022,48,32,6628.115,6786.21666666668,6882.86900000001,6985.60833333334,7140.37666666669,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"3","ComprehensiveModel",2023,48,32,6696.36750000001,6881.4125,6987.31500000001,7124.49583333335,7254.17833333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"4","ComprehensiveModel",2024,48,32,6749.98083333333,6948.25833333334,7086.98950000001,7231.14583333334,7422.53416666668,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"5","ComprehensiveModel",2025,48,32,7213.19166666668,7448.09583333335,7619.49333333335,7767.48750000002,8093.37250000003,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"6","ComprehensiveModel",2026,48,32,7265.31500000001,7506.47500000002,7705.42933333335,7889.83333333337,8206.09500000002,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"7","ComprehensiveModel",2027,48,32,7316.56333333336,7553.27083333336,7780.00216666668,7970.70833333335,8352.40333333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"8","ComprehensiveModel",2028,48,32,7393.22583333338,7575.97500000003,7852.82966666669,8024.28750000002,8484.23000000002,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"9","ComprehensiveModel",2029,48,32,7371.40583333336,7661.99166666668,7938.51250000002,8153.25416666667,8559.9475,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"10","ComprehensiveModel",2030,48,32,7451.80916666669,7694.95000000001,8019.53933333335,8222.88333333335,8741.4191666667,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"11","ComprehensiveModel",2031,48,32,7485.91750000001,7789.93333333336,8097.94816666668,8313.64166666667,8829.84500000001,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"12","ComprehensiveModel",2032,48,32,7463.39000000002,7866.67083333336,8182.75683333335,8414.75833333336,8829.60166666668,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"13","ComprehensiveModel",2033,48,32,7521.57583333334,7909.25833333335,8259.74116666668,8534.24166666671,9000.08083333334,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"14","ComprehensiveModel",2034,48,32,7620.60583333333,7981.62500000001,8340.44016666668,8641.67083333336,9054.1925,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"15","ComprehensiveModel",2035,48,32,7620.585,8066.25416666669,8433.85300000001,8751.54583333334,9350.03666666668,48,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"16","Comprehensive_A",2021,48,32,6469.34166666668,6578.05416666668,6648.89100000001,6716.93750000001,6831.5675,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"17","Comprehensive_A",2022,48,32,6401.96500000001,6534.72083333336,6622.61183333335,6713.94166666668,6858.83583333335,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"18","Comprehensive_A",2023,48,32,6339.54083333335,6491.65833333334,6589.37583333335,6693.60833333333,6796.49916666668,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
"19","Comprehensive_A",2024,48,32,6278.69416666667,6439.90000000002,6553.90600000001,6657.75833333334,6783.58416666668,48,32,5000,FALSE,TRUE,TRUE,TRUE,"TV_Comprehensive","PopValues","SeasonalityCurves","Cadres_Comprehensive","Comprehensive","Harari",NA
